source,source_name,target,target_name,title,weight
nm0000375,Robert Downey Jr.,nm0000569,Gwyneth Paltrow,Iron Man,1
nm0000375,Robert Downey Jr.,nm0005024,Terrence Howard,Iron Man,1
nm0000375,Robert Downey Jr.,nm0000313,Jeff Bridges,Iron Man,1
nm0000375,Robert Downey Jr.,nm0004753,Leslie Bibb,Iron Man,1
nm0000375,Robert Downey Jr.,nm0869467,Shaun Toub,Iron Man,1
nm0000375,Robert Downey Jr.,nm0846687,Faran Tahir,Iron Man,1
nm0000375,Robert Downey Jr.,nm0163988,Clark Gregg,Iron Man,1
nm0000375,Robert Downey Jr.,nm0810488,Bill Smitrovich,Iron Man,1
nm0000375,Robert Downey Jr.,nm0046223,Sayed Badreya,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0005024,Terrence Howard,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0000313,Jeff Bridges,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0004753,Leslie Bibb,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0869467,Shaun Toub,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0846687,Faran Tahir,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0163988,Clark Gregg,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0810488,Bill Smitrovich,Iron Man,1
nm0000569,Gwyneth Paltrow,nm0046223,Sayed Badreya,Iron Man,1
nm0005024,Terrence Howard,nm0000313,Jeff Bridges,Iron Man,1
nm0005024,Terrence Howard,nm0004753,Leslie Bibb,Iron Man,1
nm0005024,Terrence Howard,nm0869467,Shaun Toub,Iron Man,1
nm0005024,Terrence Howard,nm0846687,Faran Tahir,Iron Man,1
nm0005024,Terrence Howard,nm0163988,Clark Gregg,Iron Man,1
nm0005024,Terrence Howard,nm0810488,Bill Smitrovich,Iron Man,1
nm0005024,Terrence Howard,nm0046223,Sayed Badreya,Iron Man,1
nm0000313,Jeff Bridges,nm0004753,Leslie Bibb,Iron Man,1
