tconst,title
tt0371746,Iron Man
tt0458339,Captain America: The First Avenger
tt0478970,Ant-Man
tt0800080,The Incredible Hulk
tt0800369,Thor
tt0848228,The Avengers
tt10648342,Thor: Love and Thunder
tt10676048,The Marvels
tt10872600,Spider-Man: No Way Home
tt1211837,Doctor Strange
tt1228705,Iron Man 2
tt1825683,Black Panther
tt1843866,Captain America: The Winter Soldier
tt1981115,Thor: The Dark World
tt2015381,Guardians of the Galaxy
tt21215058,Thor
tt2250912,Spider-Man: Homecoming
tt2395427,Avengers: Age of Ultron
tt33407001,Iron Man
tt33482739,The Avengers
tt3480822,Black Widow
tt3498820,Captain America: Civil War
tt3501632,Thor: Ragnarok
tt3896198,Guardians of the Galaxy Vol. 2
tt4154664,Captain Marvel
tt4154756,Avengers: Infinity War
tt4154796,Avengers: Endgame
tt6263850,Deadpool & Wolverine
tt6791350,Guardians of the Galaxy Vol. 3
tt9032400,Eternals
tt9114286,Black Panther: Wakanda Forever
tt9419884,Doctor Strange in the Multiverse of Madness
