source;source_name;target;target_name;relationship;type
nm0000949;Cate Blanchett;nm0935653;Ray Winstone;-1;undirected
nm0695435;Chris Pratt;nm0339460;Judy Greer;-1;undirected
nm0001838;Rachel Weisz;nm0001804;Stanley Tucci;-1;undirected
nm0001570;Edward Norton;nm0000353;Willem Dafoe;-1;undirected
nm0001570;Edward Norton;nm0134072;Bobby Cannavale;-1;undirected
nm0000353;Willem Dafoe;nm0134072;Bobby Cannavale;-1;undirected
nm0000949;Cate Blanchett;nm0842770;Tilda Swinton;-1;undirected
nm1093951;Aaron Taylor-Johnson;nm2810287;David Dastmalchian;-1;undirected
nm0000195;Bill Murray;nm0000353;Willem Dafoe;-1;undirected
nm0413168;Hugh Jackman;nm1431940;Evangeline Lilly;-1;undirected
nm0413168;Hugh Jackman;nm1107001;Anthony Mackie;-1;undirected
nm0000652;James Spader;nm0000169;Tommy Lee Jones;-1;undirected
nm0757855;Zoe Saldana;nm0000458;William Hurt;-1;undirected
nm1157048;Zachary Levi;nm0005023;Djimon Hounsou;-1;undirected
nm0000604;John C. Reilly;nm0000161;Salma Hayek;-1;undirected
nm0000604;John C. Reilly;nm0829032;Ray Stevenson;-1;undirected
nm0000161;Salma Hayek;nm0829032;Ray Stevenson;-1;undirected
nm0413168;Hugh Jackman;nm0005351;Ryan Reynolds;-1;undirected
nm0413168;Hugh Jackman;nm0005351;Ryan Reynolds;-1;undirected
nm0262635;Chris Evans;nm0005023;Djimon Hounsou;-1;undirected
nm0000204;Natalie Portman;nm0424060;Scarlett Johansson;-1;undirected
nm0000204;Natalie Portman;nm1212722;Benedict Cumberbatch;-1;undirected
nm0350453;Jake Gyllenhaal;nm0000547;Alfred Molina;-1;undirected
nm0000128;Russell Crowe;nm1046097;Rachel McAdams;-1;undirected
nm0424060;Scarlett Johansson;nm0842770;Tilda Swinton;-1;undirected
nm0424060;Scarlett Johansson;nm0842770;Tilda Swinton;-1;undirected
nm0000156;Jeff Goldblum;nm0000353;Willem Dafoe;-1;undirected
nm0252961;Idris Elba;nm0757855;Zoe Saldana;-1;undirected
nm0252961;Idris Elba;nm0262635;Chris Evans;-1;undirected
nm0757855;Zoe Saldana;nm0262635;Chris Evans;-1;undirected
nm0001570;Edward Norton;nm0342029;Frank Grillo;-1;undirected
nm0000168;Samuel L. Jackson;nm0740264;Michael Rooker;-1;undirected
nm0350453;Jake Gyllenhaal;nm0339460;Judy Greer;-1;undirected
nm0350453;Jake Gyllenhaal;nm0000204;Natalie Portman;-1;undirected
nm1659221;Sebastian Stan;nm0000458;William Hurt;-1;undirected
nm0005351;Ryan Reynolds;nm0000313;Jeff Bridges;-1;undirected
nm0000332;Don Cheadle;nm0836121;Michael Stuhlbarg;-1;undirected
nm0881631;Karl Urban;nm0757855;Zoe Saldana;-1;undirected
nm0177896;Bradley Cooper;nm0004753;Leslie Bibb;-1;undirected
nm0000204;Natalie Portman;nm0177896;Bradley Cooper;-1;undirected
nm0004937;Jamie Foxx;nm0177896;Bradley Cooper;-1;undirected
nm0004950;Jennifer Garner;nm0000140;Michael Douglas;-1;undirected
nm0004937;Jamie Foxx;nm0000375;Robert Downey Jr.;-1;undirected
nm0079273;Paul Bettany;nm0881631;Karl Urban;-1;undirected
nm0001401;Angelina Jolie;nm0272173;Colm Feore;-1;undirected
nm1385871;Olga Kurylenko;nm1092086;David Harbour;-1;undirected
nm1093951;Aaron Taylor-Johnson;nm0647634;Elizabeth Olsen;-1;undirected
nm0005351;Ryan Reynolds;nm0001838;Rachel Weisz;-1;undirected
nm0000906;Annette Bening;nm0749263;Mark Ruffalo;-1;undirected
nm0001838;Rachel Weisz;nm0749263;Mark Ruffalo;-1;undirected
nm0935653;Ray Winstone;nm2017943;Hayley Atwell;-1;undirected
nm0586568;Mads Mikkelsen;nm0507207;Gary Lewis;-1;undirected
nm1002641;Dominic Cooper;nm2017943;Hayley Atwell;-1;undirected
nm0005377;Sam Rockwell;nm0532193;Matthew Macfadyen;-1;undirected
nm0005377;Sam Rockwell;nm0429363;Toby Jones;-1;undirected
nm0532193;Matthew Macfadyen;nm0429363;Toby Jones;-1;undirected
nm0719637;Jeremy Renner;nm1107001;Anthony Mackie;-1;undirected
nm0719637;Jeremy Renner;nm1431940;Evangeline Lilly;-1;undirected
nm1107001;Anthony Mackie;nm1431940;Evangeline Lilly;-1;undirected
nm0915989;Hugo Weaving;nm0339460;Judy Greer;-1;undirected
nm0293509;Martin Freeman;nm0035514;Richard Armitage;-1;undirected
nm0001401;Angelina Jolie;nm0252230;Chiwetel Ejiofor;-1;undirected
nm0000204;Natalie Portman;nm1659221;Sebastian Stan;-1;undirected
nm0000204;Natalie Portman;nm1659221;Sebastian Stan;-1;undirected
nm0000204;Natalie Portman;nm1659221;Sebastian Stan;-1;undirected
nm0000204;Natalie Portman;nm1659221;Sebastian Stan;-1;undirected
nm0000128;Russell Crowe;nm0000949;Cate Blanchett;-1;undirected
nm0000128;Russell Crowe;nm0532193;Matthew Macfadyen;-1;undirected
nm0000128;Russell Crowe;nm0000458;William Hurt;-1;undirected
nm0000949;Cate Blanchett;nm0532193;Matthew Macfadyen;-1;undirected
nm0000949;Cate Blanchett;nm0000458;William Hurt;-1;undirected
nm0532193;Matthew Macfadyen;nm0000458;William Hurt;-1;undirected
nm0005351;Ryan Reynolds;nm0000353;Willem Dafoe;-1;undirected
nm0000474;Michael Keaton;nm0134072;Bobby Cannavale;-1;undirected
nm0935653;Ray Winstone;nm0836121;Michael Stuhlbarg;-1;undirected
nm0429363;Toby Jones;nm0000195;Bill Murray;-1;undirected
nm0000164;Anthony Hopkins;nm0424060;Scarlett Johansson;-1;undirected
nm0000164;Anthony Hopkins;nm0836121;Michael Stuhlbarg;-1;undirected
nm0424060;Scarlett Johansson;nm0836121;Michael Stuhlbarg;-1;undirected
nm1046097;Rachel McAdams;nm0671567;Michael Peña;-1;undirected
nm0671567;Michael Peña;nm0740264;Michael Rooker;-1;undirected
nm0000375;Robert Downey Jr.;nm0000179;Jude Law;-1;undirected
nm0000375;Robert Downey Jr.;nm1046097;Rachel McAdams;-1;undirected
nm0000179;Jude Law;nm1046097;Rachel McAdams;-1;undirected
nm0134072;Bobby Cannavale;nm2962353;Pom Klementieff;-1;undirected
nm0001804;Stanley Tucci;nm0134072;Bobby Cannavale;-1;undirected
nm0262635;Chris Evans;nm0169806;Taika Waititi;-1;undirected
nm6328300;Winston Duke;nm0938950;Benedict Wong;-1;undirected
nm1212722;Benedict Cumberbatch;nm0429363;Toby Jones;-1;undirected
nm6073955;Florence Pugh;nm2110418;Gemma Chan;-1;undirected
nm1107001;Anthony Mackie;nm0740264;Michael Rooker;-1;undirected
nm0000652;James Spader;nm0993507;Kat Dennings;-1;undirected
nm0324658;Walton Goggins;nm0350453;Jake Gyllenhaal;-1;undirected
nm0430107;Michael B. Jordan;nm1935086;Tessa Thompson;-1;undirected
nm0430107;Michael B. Jordan;nm3718007;Jonathan Majors;-1;undirected
nm1935086;Tessa Thompson;nm3718007;Jonathan Majors;-1;undirected
nm0000313;Jeff Bridges;nm3229685;Kit Harington;-1;undirected
nm0000313;Jeff Bridges;nm0005023;Djimon Hounsou;-1;undirected
nm3229685;Kit Harington;nm0005023;Djimon Hounsou;-1;undirected
nm0000906;Annette Bening;nm0000168;Samuel L. Jackson;-1;undirected
nm0000620;Mickey Rourke;nm0000673;Marisa Tomei;-1;undirected
nm0079273;Paul Bettany;nm0339460;Judy Greer;-1;undirected
nm0005351;Ryan Reynolds;nm0169806;Taika Waititi;-1;undirected
nm0005351;Ryan Reynolds;nm0000291;Angela Bassett;-1;undirected
nm0005351;Ryan Reynolds;nm0169806;Taika Waititi;-1;undirected
nm0005351;Ryan Reynolds;nm0000291;Angela Bassett;-1;undirected
nm0169806;Taika Waititi;nm0000291;Angela Bassett;-1;undirected
nm0252961;Idris Elba;nm1939267;Tip 'T.I.' Harris;-1;undirected
nm0000332;Don Cheadle;nm1092086;David Harbour;-1;undirected
nm0748620;Paul Rudd;nm0269463;Jon Favreau;-1;undirected
nm0001570;Edward Norton;nm1176985;Dave Bautista;-1;undirected
nm3918035;Zendaya;nm0001745;Stellan Skarsgård;-1;undirected
nm0000164;Anthony Hopkins;nm0429363;Toby Jones;-1;undirected
nm0293509;Martin Freeman;nm0035514;Richard Armitage;-1;undirected
