tconst,nconst,category,characters,name,primaryTitle
tt0293429,nm0038355,actor,"[""Lord Raiden""]",Tadanobu Asano,Mortal Kombat
tt0312305,nm0000168,actor,"[""Fear""]",Samuel L. Jackson,Quantum Quest: A Cassini Space Odyssey
tt0327785,nm1176985,actor,"[""Joe Flood""]",Dave Bautista,The Killer's Game
tt0360556,nm0430107,actor,"[""Guy Montag""]",Michael B. Jordan,Fahrenheit 451
tt0364970,nm0004874,actor,"[""Toorop""]",Vin Diesel,Babylon A.D.
tt0365907,nm1092086,actor,"[""Ray""]",David Harbour,A Walk Among the Tombstones
tt0367882,nm0000949,actress,"[""Irina Spalko""]",Cate Blanchett,Indiana Jones and the Kingdom of the Crystal Skull
tt0367882,nm0935653,actor,"[""'Mac' George Michale""]",Ray Winstone,Indiana Jones and the Kingdom of the Crystal Skull
tt0368563,nm1195855,actor,"[""Roman""]",Lee Pace,Possession
tt0369436,nm0269463,actor,"[""Denver""]",Jon Favreau,Four Christmases
tt0369610,nm0695435,actor,"[""Owen Grady""]",Chris Pratt,Jurassic World
tt0369610,nm0339460,actress,"[""Karen""]",Judy Greer,Jurassic World
tt0371746,nm0000375,actor,"[""Tony Stark""]",Robert Downey Jr.,Iron Man
tt0371746,nm0000569,actress,"[""Pepper Potts""]",Gwyneth Paltrow,Iron Man
tt0371746,nm0005024,actor,"[""Rhodey""]",Terrence Howard,Iron Man
tt0371746,nm0000313,actor,"[""Obadiah Stane""]",Jeff Bridges,Iron Man
tt0371746,nm0004753,actress,"[""Christine Everhart""]",Leslie Bibb,Iron Man
tt0371746,nm0869467,actor,"[""Yinsen""]",Shaun Toub,Iron Man
tt0371746,nm0846687,actor,"[""Raza""]",Faran Tahir,Iron Man
tt0371746,nm0163988,actor,"[""Agent Coulson""]",Clark Gregg,Iron Man
tt0371746,nm0810488,actor,"[""General Gabriel""]",Bill Smitrovich,Iron Man
tt0371746,nm0046223,actor,"[""Abu Bakaar""]",Sayed Badreya,Iron Man
tt0376136,nm0810488,actor,"[""Mr. Zimburger""]",Bill Smitrovich,The Rum Diary
tt0380510,nm0001838,actress,"[""Abigail Salmon""]",Rachel Weisz,The Lovely Bones
tt0380510,nm0001804,actor,"[""George Harvey""]",Stanley Tucci,The Lovely Bones
tt0385887,nm0001570,actor,"[""Lionel Essrog""]",Edward Norton,Motherless Brooklyn
tt0385887,nm0000353,actor,"[""Paul Randolph""]",Willem Dafoe,Motherless Brooklyn
tt0385887,nm0134072,actor,"[""Tony Vermonte""]",Bobby Cannavale,Motherless Brooklyn
tt0398286,nm1157048,actor,"[""Flynn Rider""]",Zachary Levi,Tangled
tt0401729,nm0000353,actor,"[""Tars Tarkas""]",Willem Dafoe,John Carter
tt0404978,nm0001804,actor,"[""Zaidenweber""]",Stanley Tucci,Gambit
tt0409379,nm0647634,actress,"[""Thérèse Raquin""]",Elizabeth Olsen,In Secret
tt0412536,nm2017943,actress,"[""Julia Flyte""]",Hayley Atwell,Brideshead Revisited
tt0416212,nm0079273,actor,"[""T. Ray Owens""]",Paul Bettany,The Secret Life of Bees
tt0420238,nm0001804,actor,"[""Boldo""]",Stanley Tucci,The Tale of Despereaux
tt0421073,nm0262635,actor,"[""Detective Paul Diskant""]",Chris Evans,Street Kings
tt0421715,nm0000949,actress,"[""Daisy""]",Cate Blanchett,The Curious Case of Benjamin Button
tt0421715,nm0842770,actress,"[""Elizabeth Abbott""]",Tilda Swinton,The Curious Case of Benjamin Button
tt0427152,nm0748620,actor,"[""Tim""]",Paul Rudd,Dinner for Schmucks
tt0427340,nm0252961,actor,"[""Man-At-Arms""]",Idris Elba,Masters of the Universe
tt0427340,nm0252961,actor,"[""Duncan""]",Idris Elba,Masters of the Universe
tt0427543,nm1093951,actor,"[""James Frey""]",Aaron Taylor-Johnson,A Million Little Pieces
tt0427543,nm2810287,actor,"[""Roy""]",David Dastmalchian,A Million Little Pieces
tt0429493,nm0177896,actor,"[""Face""]",Bradley Cooper,The A-Team
tt0430770,nm0000906,actress,"[""Sylvie Fowler""]",Annette Bening,The Women
tt0430922,nm0748620,actor,"[""Danny""]",Paul Rudd,Role Models
tt0432283,nm0000353,actor,"[""Rat""]",Willem Dafoe,Fantastic Mr. Fox
tt0433035,nm0413168,actor,"[""Charlie Kenton""]",Hugh Jackman,Real Steel
tt0433035,nm1431940,actress,"[""Bailey Tallet""]",Evangeline Lilly,Real Steel
tt0433035,nm1107001,actor,"[""Finn""]",Anthony Mackie,Real Steel
tt0433362,nm0000353,actor,"[""Lionel 'Elvis' Cormac""]",Willem Dafoe,Daybreakers
tt0435651,nm0000313,actor,"[""The Giver""]",Jeff Bridges,The Giver
tt0435761,nm0000474,actor,"[""Ken""]",Michael Keaton,Toy Story 3
tt0437405,nm0005351,actor,"[""Captain Excellent""]",Ryan Reynolds,Paper Man
tt0438488,nm0000288,actor,"[""John Connor""]",Christian Bale,Terminator Salvation
tt0439572,nm0000474,actor,"[""Bruce Wayne""]",Michael Keaton,The Flash
tt0439572,nm0000474,actor,"[""Batman""]",Michael Keaton,The Flash
tt0441773,nm0001401,actress,"[""Tigress""]",Angelina Jolie,Kung Fu Panda
tt0443272,nm0000652,actor,"[""W.N. Bilbo""]",James Spader,Lincoln
tt0443272,nm0000169,actor,"[""Thaddeus Stevens""]",Tommy Lee Jones,Lincoln
tt0443274,nm0757855,actress,"[""Angie Jones""]",Zoe Saldana,Vantage Point
tt0443274,nm0000458,actor,"[""President Ashton""]",William Hurt,Vantage Point
tt0443465,nm0262635,actor,"[""Nick""]",Chris Evans,Before We Go
tt0443559,nm0000620,actor,"[""Blackbird""]",Mickey Rourke,Killshot
tt0448115,nm1157048,actor,"[""Shazam""]",Zachary Levi,Shazam!
tt0448115,nm0005023,actor,"[""Wizard""]",Djimon Hounsou,Shazam!
tt0448694,nm0000161,actress,"[""Kitty Softpaws""]",Salma Hayek,Puss in Boots
tt0450314,nm0829032,actor,"[""Frank Castle""]",Ray Stevenson,Punisher: War Zone
tt0450405,nm0000604,actor,"[""Crepsley""]",John C. Reilly,Cirque du Freak: The Vampire's Assistant
tt0450405,nm0000161,actress,"[""Madame Truska""]",Salma Hayek,Cirque du Freak: The Vampire's Assistant
tt0450405,nm0829032,actor,"[""Murlaugh""]",Ray Stevenson,Cirque du Freak: The Vampire's Assistant
tt0452692,nm0915989,actor,"[""McHeath""]",Hugo Weaving,The Tender Hook
tt0452694,nm1046097,actress,"[""Clare""]",Rachel McAdams,The Time Traveler's Wife
tt0453562,nm1569276,actor,"[""Jackie Robinson""]",Chadwick Boseman,42
tt0455824,nm0413168,actor,"[""Drover""]",Hugh Jackman,Australia
tt0455944,nm1092086,actor,"[""Masters""]",David Harbour,The Equalizer
tt0458339,nm0262635,actor,"[""Captain America""]",Chris Evans,Captain America: The First Avenger
tt0458339,nm0262635,actor,"[""Steve Rogers""]",Chris Evans,Captain America: The First Avenger
tt0458339,nm0915989,actor,"[""Johann Schmidt""]",Hugo Weaving,Captain America: The First Avenger
tt0458339,nm0915989,actor,"[""Red Skull""]",Hugo Weaving,Captain America: The First Avenger
tt0458339,nm0000168,actor,"[""Nick Fury""]",Samuel L. Jackson,Captain America: The First Avenger
tt0458339,nm2017943,actress,"[""Peggy Carter""]",Hayley Atwell,Captain America: The First Avenger
tt0458339,nm1659221,actor,"[""James Buchanan 'Bucky' Barnes""]",Sebastian Stan,Captain America: The First Avenger
tt0458339,nm0000169,actor,"[""Colonel Chester Phillips""]",Tommy Lee Jones,Captain America: The First Avenger
tt0458339,nm1002641,actor,"[""Howard Stark""]",Dominic Cooper,Captain America: The First Avenger
tt0458339,nm0035514,actor,"[""Heinz Kruger""]",Richard Armitage,Captain America: The First Avenger
tt0458339,nm0001804,actor,"[""Dr. Abraham Erskine""]",Stanley Tucci,Captain America: The First Avenger
tt0458339,nm0429363,actor,"[""Dr. Arnim Zola""]",Toby Jones,Captain America: The First Avenger
tt0458481,nm0000620,actor,"[""Marv""]",Mickey Rourke,Sin City: A Dame to Kill For
tt0458525,nm0413168,actor,"[""Logan""]",Hugh Jackman,X-Men Origins: Wolverine
tt0458525,nm0413168,actor,"[""Wolverine""]",Hugh Jackman,X-Men Origins: Wolverine
tt0458525,nm0005351,actor,"[""Wade Wilson""]",Ryan Reynolds,X-Men Origins: Wolverine
tt0460890,nm0000313,actor,"[""W.F. Gerald""]",Jeff Bridges,The Only Living Boy in New York
tt0462335,nm1089991,actor,"[""Laing""]",Tom Hiddleston,High-Rise
tt0462499,nm0000230,actor,"[""John Rambo""]",Sylvester Stallone,Rambo
tt0465580,nm0262635,actor,"[""Nick Gant""]",Chris Evans,Push
tt0465580,nm0005023,actor,"[""Henry Carver""]",Djimon Hounsou,Push
tt0466893,nm0749263,actor,"[""Maretti""]",Mark Ruffalo,Margaret
tt0467197,nm1385871,actress,"[""Natasha""]",Olga Kurylenko,Max Payne
tt0467200,nm0000204,actress,"[""Anne Boleyn""]",Natalie Portman,The Other Boleyn Girl
tt0467200,nm0424060,actress,"[""Mary Boleyn""]",Scarlett Johansson,The Other Boleyn Girl
tt0467200,nm1212722,actor,"[""William Carey""]",Benedict Cumberbatch,The Other Boleyn Girl
tt0468569,nm0000288,actor,"[""Bruce Wayne""]",Christian Bale,The Dark Knight
tt0468569,nm0000288,actor,"[""Batman""]",Christian Bale,The Dark Knight
tt0471042,nm0671567,actor,"[""Enrique Dev'Reaux""]",Michael Peña,Tower Heist
tt0472033,nm0000604,actor,"[""#5""]",John C. Reilly,9
tt0472198,nm1107001,actor,"[""Tupac Shakur""]",Anthony Mackie,Notorious
tt0473075,nm0000547,actor,"[""Sheik Amar""]",Alfred Molina,Prince of Persia: The Sands of Time
tt0473102,nm1727825,actor,"[""Fidel Ruiz""]",Tony Revolori,The Perfect Game
tt0473705,nm0000128,actor,"[""Cal McAffrey""]",Russell Crowe,State of Play
tt0473705,nm1046097,actress,"[""Della Frye""]",Rachel McAdams,State of Play
tt0475290,nm0424060,actress,"[""DeeAnna Moran""]",Scarlett Johansson,"Hail, Caesar!"
tt0475290,nm0842770,actress,"[""Thora Thacker""]",Tilda Swinton,"Hail, Caesar!"
tt0475290,nm0842770,actress,"[""Thessaly Thacker""]",Tilda Swinton,"Hail, Caesar!"
tt0478970,nm0748620,actor,"[""Scott Lang""]",Paul Rudd,Ant-Man
tt0478970,nm0748620,actor,"[""Ant-Man""]",Paul Rudd,Ant-Man
tt0478970,nm0000140,actor,"[""Dr. Hank Pym""]",Michael Douglas,Ant-Man
tt0478970,nm1015684,actor,"[""Darren Cross""]",Corey Stoll,Ant-Man
tt0478970,nm1015684,actor,"[""Yellowjacket""]",Corey Stoll,Ant-Man
tt0478970,nm1431940,actress,"[""Hope van Dyne""]",Evangeline Lilly,Ant-Man
tt0478970,nm0134072,actor,"[""Paxton""]",Bobby Cannavale,Ant-Man
tt0478970,nm1107001,actor,"[""Sam Wilson""]",Anthony Mackie,Ant-Man
tt0478970,nm1107001,actor,"[""Falcon""]",Anthony Mackie,Ant-Man
tt0478970,nm0339460,actress,"[""Maggie Lang""]",Judy Greer,Ant-Man
tt0478970,nm5338858,actress,"[""Cassie Lang""]",Abby Ryder Fortson,Ant-Man
tt0478970,nm0671567,actor,"[""Luis""]",Michael Peña,Ant-Man
tt0478970,nm2810287,actor,"[""Kurt""]",David Dastmalchian,Ant-Man
tt0479341,nm0000156,actor,"[""Adam Stein""]",Jeff Goldblum,Adam Resurrected
tt0479341,nm0000353,actor,"[""Commandant Klein""]",Willem Dafoe,Adam Resurrected
tt0480255,nm0252961,actor,"[""Roque""]",Idris Elba,The Losers
tt0480255,nm0757855,actress,"[""Aisha""]",Zoe Saldana,The Losers
tt0480255,nm0262635,actor,"[""Jensen""]",Chris Evans,The Losers
tt0481499,nm0005351,actor,"[""Guy""]",Ryan Reynolds,The Croods
tt0482461,nm0339460,actress,"[""Ginger Farley""]",Judy Greer,Barry Munday
tt0482572,nm0001570,actor,"[""Ray Tierney""]",Edward Norton,Pride and Glory
tt0482572,nm0342029,actor,"[""Eddie Carbone""]",Frank Grillo,Pride and Glory
tt0482603,nm0001804,actor,"[""Senator""]",Stanley Tucci,Space Chimps
tt0482606,nm0000239,actress,"[""Kristen McKay""]",Liv Tyler,The Strangers
tt0485985,nm0005024,actor,"[""Colonel A.J. Bullard""]",Terrence Howard,Red Tails
tt0486674,nm0001804,actor,"[""Scott Solomon""]",Stanley Tucci,What Just Happened
tt0489099,nm0000168,actor,"[""Roland""]",Samuel L. Jackson,Jumper
tt0489099,nm0740264,actor,"[""William Rice""]",Michael Rooker,Jumper
tt0490087,nm0881631,actor,"[""Earl Pike""]",Karl Urban,Black Water Transit
tt0490215,nm0038355,actor,"[""Interpreter""]",Tadanobu Asano,Silence
tt0493076,nm0757855,actress,"[""Nina Simone""]",Zoe Saldana,Nina
tt0493405,nm0671567,actor,"[""Ponch""]",Michael Peña,CHIPS
tt0493451,nm0757855,actress,"[""Cassie""]",Zoe Saldana,The Skeptic
tt0493464,nm0001401,actress,"[""Fox""]",Angelina Jolie,Wanted
tt0494238,nm0079273,actor,"[""Dustfinger""]",Paul Bettany,Inkheart
tt0494864,nm0000128,actor,"[""Lt. Cristofuoro""]",Russell Crowe,Tenderness
tt0496634,nm0000458,actor,"[""Gyorgy Thurzo""]",William Hurt,The Countess
tt0497465,nm0424060,actress,"[""Cristina""]",Scarlett Johansson,Vicky Cristina Barcelona
tt0498396,nm0000204,actress,\N,Natalie Portman,The Twits
tt0499097,nm0430107,actor,"[""John Kelly""]",Michael B. Jordan,Without Remorse
tt0499549,nm0757855,actress,"[""Neytiri""]",Zoe Saldana,Avatar
tt0758752,nm0339460,actress,"[""Cindy""]",Judy Greer,Love & Other Drugs
tt0758774,nm0000128,actor,"[""Ed Hoffman""]",Russell Crowe,Body of Lies
tt0765010,nm0000204,actress,"[""Grace Cahill""]",Natalie Portman,Brothers
tt0765442,nm0000353,actor,"[""A""]",Willem Dafoe,The Dust of Time
tt0770703,nm0262635,actor,"[""Colin Shea""]",Chris Evans,What's Your Number?
tt0770752,nm0935653,actor,"[""Moe Fitch""]",Ray Winstone,Fool's Gold
tt0770828,nm0000128,actor,"[""Jor-El""]",Russell Crowe,Man of Steel
tt0775440,nm0000168,actor,"[""Tom McCourt""]",Samuel L. Jackson,Cell
tt0775543,nm1107001,actor,"[""Marcus Washington""]",Anthony Mackie,Night Catches Us
tt0780511,nm0005377,actor,"[""Robert""]",Sam Rockwell,Everybody's Fine
tt0780521,nm0005024,actor,"[""James""]",Terrence Howard,The Princess and the Frog
tt0780653,nm0000164,actor,"[""Sir John Talbot""]",Anthony Hopkins,The Wolfman
tt0783640,nm1659221,actor,"[""Scott Huffman""]",Sebastian Stan,The Last Full Measure
tt0783640,nm0000458,actor,"[""Tom Tulley""]",William Hurt,The Last Full Measure
tt0785006,nm0000332,actor,"[""Bernie""]",Don Cheadle,Hotel for Dogs
tt0785007,nm0748620,actor,"[""Henry""]",Paul Rudd,Over Her Dead Body
tt0787519,nm0079273,actor,"[""Chester""]",Paul Bettany,Broken Lines
tt0787524,nm0429363,actor,"[""John Edensor Littlewood""]",Toby Jones,The Man Who Knew Infinity
tt0790627,nm1015684,actor,"[""Subject #51""]",Corey Stoll,Brief Interviews with Hideous Men
tt0790636,nm0004950,actress,"[""Eve""]",Jennifer Garner,Dallas Buyers Club
tt0790736,nm0005351,actor,"[""Nick""]",Ryan Reynolds,R.I.P.D.
tt0790736,nm0000313,actor,"[""Roy""]",Jeff Bridges,R.I.P.D.
tt0790770,nm0000332,actor,"[""Miles Davis""]",Don Cheadle,Miles Ahead
tt0790770,nm0836121,actor,"[""Harper""]",Michael Stuhlbarg,Miles Ahead
tt0790799,nm0578853,actor,"[""Lenny Peck""]",Ben Mendelsohn,$9.99
tt0795351,nm0177896,actor,"[""Doug""]",Bradley Cooper,Case 39
tt0795421,nm0001745,actor,"[""Bill""]",Stellan Skarsgård,Mamma Mia!
tt0796366,nm0881631,actor,"[""Bones""]",Karl Urban,Star Trek
tt0796366,nm0757855,actress,"[""Uhura""]",Zoe Saldana,Star Trek
tt0798817,nm0000620,actor,"[""Jefferson""]",Mickey Rourke,13
tt0800039,nm0748620,actor,"[""Chuck""]",Paul Rudd,Forgetting Sarah Marshall
tt0800080,nm0001570,actor,"[""Bruce Banner""]",Edward Norton,The Incredible Hulk
tt0800080,nm0000239,actress,"[""Betty Ross""]",Liv Tyler,The Incredible Hulk
tt0800080,nm0000619,actor,"[""Emil Blonsky""]",Tim Roth,The Incredible Hulk
tt0800080,nm0000458,actor,"[""General 'Thunderbolt' Ross""]",William Hurt,The Incredible Hulk
tt0800080,nm0625789,actor,"[""Samuel Sterns""]",Tim Blake Nelson,The Incredible Hulk
tt0800080,nm0123092,actor,"[""Leonard""]",Ty Burrell,The Incredible Hulk
tt0800080,nm0127680,actress,"[""Major Kathleen Sparr""]",Christina Cabot,The Incredible Hulk
